,Unnamed: 0,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
0,0,fe6af137-ded6-4458-88d2-fc9c9b4db56f,맥시,https://play-lh.googleusercontent.com/a/ACg8ocKG8om0pLKIcKkiN_lAIHb83vm0Y3CdmgxWzEsUhWINCA=mo,백그라운드에서 상주하고 배터리를 많이 잡아먹는거 같은데 이거 맞나요. 분명 껐는데도 살아있습니다. 백그라운드 오디오 설정 켜진채면 완전히 꺼도 살아있는거 같네요. 네이버게임 고객센터에도 오류신고 보내놓은 상태구요. 치지직 어플 자체적인 문제 같습니다. 조속한 확인 픽스 부탁드립니다.,1,27,2.3.1,2024-03-11 02:03:43,,,2.3.1
1,1,2df80bff-56a3-4b42-a44e-996129cc1f35,다인,https://play-lh.googleusercontent.com/a/ACg8ocKs-ayg9Ms2KG9ML72GVJIGZfAw3tNn9hFc1InA-f9H=mo,"사용한지 얼마안되서 그런지 모르겠지만 서비스 자체는 👍👍👍입니다. 근데 데이터, 와이파이 환경이 좋아도 자주 버퍼링 걸리고 화질도 약간 딸리는 부분이 있습니다. 또한 닉네임 뺏는것에서 사용자분들이 불편을 느끼는듯 합니다. 이 정도네요. 방송플렛폼 서비스는 잘 구성돼있으나 이러한 단점들은 수정 해주셨으면 합니다.",4,105,2.3.0,2024-02-26 09:46:59,,,2.3.0
2,2,b46853e4-4e45-45e4-b66c-d5cabf1ab705,김상훈,https://play-lh.googleusercontent.com/a-/ALV-UjVSOKshC-V810zSF7wcVYECPfNLDYK_rIaF4Az_P5LT1Y0,"안녕하세요, 치지직 사용자입니다. 아직 베타이지만 기능이 풍부하고 화질과 프레임도 좋아서 만족하고 있습니다! 다만 이 기능이 있었으면 좋겠습니다. 1. 화질 선택란에 프레임 표시(예: 1080 30p/60p) 2. 앱 사용 중에만(백그라운드 아닌) pip모드 사용 옵션 3. 모바일에서 가로모드 지원 고려해 주신다면 감사하겠습니다.",5,11,2.3.1,2024-03-10 11:21:55,,,2.3.1
3,3,c03c767d-7269-435e-8f39-3091369e9236,모찌짱,https://play-lh.googleusercontent.com/a-/ALV-UjU32SWaYAYqvdrGTgxLnDNZvzz60NwF5yFaWUPdeHQauw,버그 또는 치지직 기능에 대해 불만을 가지시거나 불편함을 겪으시는 분들에 비해 트위치처럼 편히 이용하고는 있었습니다만 생방송 보는 중에도 시청중인 생방송 다시보기 기능 만들어 주시면 좋을것같아요 찾아보니까 없어서 아쉬워 하시는 분들 많으신것같은데.. 생방송 시청중 해당 생방송을 다시보는 기능 만들어주세요 몇분 전을 보고싶으면 하루 정도 기다려서 볼수밖에없어서 너무 아쉽습니다.. 이 이외에는 너무 잘 사용하고있어서 별 5개! 특히 e스포츠 다시볼수있는게 좋은 것 같아요,5,9,2.3.1,2024-03-08 15:23:26,,,2.3.1
4,4,15bb12cc-532a-406c-bd34-e499b9ffb169,체스,https://play-lh.googleusercontent.com/a-/ALV-UjWb4gVMa3OzKrHBJ3hWXJMHC0RI6-nAggTVZjY6rAq0cNI,"모바일로 PIP모드 사용 시 치명적인 오류가 발생합니다. PIP 모드가 제대로 적용되지 않고, 기존 스트리밍 화면에서 채팅창 부분만 까맣게 변하고 스트리밍 화면이 그대로 멈추며, 모든 터치와 기능이 마비됩니다. 홈화면으로도 메뉴로도 넘어갈 수가 없어요.. 폰을 껐다 켜야지만 정상화되는데 바로 다시 PIP모드를 사용해도 같은 오류가 반복적으로 일어나요. 다 좋은데 이 부분 개선해주셨으면 좋겠습니다ㅠㅠ PIP모드 자주 사용하는 유저라서 불편함이 있습니다.",3,14,2.3.1,2024-03-06 17:03:24,,,2.3.1
5,5,e416b6ac-41f9-4366-928d-f556a1c5e9c7,정레오,https://play-lh.googleusercontent.com/a-/ALV-UjVgKoII3SbqtxJ6cBLl3bwg6GlWp7Ht1mxIdiQ1z1EnkWw,제발 버퍼링 걸리는 것만이라도 빠르게 고칩시다. 방송 보는 중 한 번이라도 버퍼링이 걸리면 그냥 최악입니다. 그런데 이런 버퍼링이 한 번이 아니라 생각보다 자주 걸립니다. 이용자의 인터넷 문제가 아닌 치지직 문제입니다. 방송 프레임 떨어지는 문제도 심합니다. 최소한 이것들은 고치세요. 시청에 큰 방해가 되는 요소들입니다.,2,196,2.3.0,2024-02-26 13:03:16,,,2.3.0
6,6,d7188657-e808-46ca-89de-bddd9103cfe0,티타임,https://play-lh.googleusercontent.com/a/ACg8ocL_FWdjVitf4W7bsWNx7Vwl9RpdU3pvPthqnnY7QDcnVA=mo,"폴드4 사용자 입니다. 톱니바퀴 누르면 설정창이 화면 아래쪽으로 아에 사라졌는지 나타나질 않네요.. 버그가 많아서야... 시청을 하는데 상당히 불편합니다. 채팅창 입력할때도 버그 투성이입니다. 최초 채팅시 규칙 준수해서~ 나오는 팝업멘트도 안나타나서 화면 회전하면 나오고, 키패드는 어디로 도망갔나요...",2,9,2.3.0,2024-02-28 14:38:45,,,2.3.0
7,7,be13728e-24c5-4f31-b613-9fe26122163f,gg12,https://play-lh.googleusercontent.com/a-/ALV-UjV-SPNL6YM0_6s4MbKHPJqpxiA-0NyeI3cwfUQckTMTsQ,업데이트를 하고 나서부터는 해상도를 바꾸고 싶어서 설정버튼을 눌러도 화면에 뜨지 않는 문제가 발생 했습니다. 지우고 다시 깔아도 로그아웃을 해봐도 그대로입니다. 저만의 문제일 수도 있지만 혹시 저와 같은 문제를 가지고 있는 분들도 있을 수 있으니 한 번 확인해 주시고 고쳐주시면 감사드리겠습니다.,4,7,2.3.0,2024-02-27 07:13:18,,,2.3.0
8,8,5e60b605-657e-4aaa-b9cd-e7142bb96aea,Sant a,https://play-lh.googleusercontent.com/a-/ALV-UjUCU3tE2T0pN57d_JZLebImL9RsdgTI08Hz_3h78UiyuQ,"2점을 준 이유는 다음과 같습니다 1. 방송중인 팔로잉채널들의 미리보기가 나오지않습니다. 추천채널은 보여주면서 유저들에게 가장 중요한 팔로잉채널은 왜 안보여주는지? 2. 시청을 원하는 채널로 들어갈 경우 너무 랙이 좀 걸립니다. 애초에 어플자체가 무겁다고 느껴지네요 3. 스트리밍 시청중 화면왼쪽의 밝기조절, 오른쪽의 소리조절은 부정적 경험만을 제공합니다. 처음에는 화면만지다 갑자기 소리가 안들려서 버그난줄 알았어요",2,12,2.3.0,2024-02-27 00:39:01,,,2.3.0
9,9,1efb9542-a7b2-432c-9f93-9e2a270162ac,HI HEIIO,https://play-lh.googleusercontent.com/a-/ALV-UjWICyQg-jDIEVoX9NnN779EA33sVARGOnEyuQlD-yyUsg,이용하면서 아쉬웠던 점 1. 방송 시청 중 다른 앱을 열거나 홈키를 입력했을 때 가끔씩 팝업모드로 바뀌지 않고 라디오 모드처럼 라디오만 들리는 경우가 있었습니다 2. 다시보기 영상이 방송이 끝나고 나서도 늦게 업로드 되는 것 같아서 아쉬웠어요 3. 방송 중에 시청자들이 남긴 채팅을 다시보기 영상으로는 볼 수가 없는 것 같아서 아쉬웠어요 4. 다시보기 영상의 길이가 12시간으로 제한되고 그 뒤의 방송은 잘리는 것이 아쉬웠어요 5. 다시보기 영상이 이전에 본 곳부터 이어보기가 안되는 것이 너무 불편하네요,4,252,2.3.0,2024-02-29 17:43:31,,,2.3.0
